EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 1, Max RSSI, -48.5, Avg RSSI, -48.5, Min RSSI, -48.5,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 2, Max RSSI, -48.5, Min RSSI, -48, Avg RSSI, -48.3268578886392,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 3, Max RSSI, -48.5, Min RSSI, -48, Avg RSSI, -48.2428083920579,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 4, Max RSSI, -48.5, Min RSSI, -48, Avg RSSI, -48.1931485525457,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 5, Max RSSI, -48.5, Min RSSI, -48, Avg RSSI, -48.16035468024,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 6, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2708141646301,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 7, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.3555424626675,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 8, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.4226044003548,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 9, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.4770096640743,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 10, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.5220356468781,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 11, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.5599172108336,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 12, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.592230961847,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 13, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.6201211237791,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 14, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.5759083575847,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 15, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.5375880001757,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 16, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.5040544508478,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 17, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.4744626787509,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 18, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.4481556662646,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 19, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.4246148357537,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 20, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.4034253862678,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 21, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.384251554943,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 22, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.3668186370419,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 23, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.3508997031262,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 24, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.3363056408157,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 25, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.3228775887797,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 26, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.3104811180447,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 27, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2990017071049,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 28, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2883411870836,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 29, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2784149226155,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 30, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2691495566736,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 31, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2604811919339,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 32, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.252353913148,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 33, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2447185781664,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 34, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2375318222897,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 35, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2307552332769,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 36, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.224354663825,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 37, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2182996555109,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 38, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2125629536637,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 39, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2071200968493,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 40, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.2019490679104,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 41, Max RSSI, -49, Min RSSI, -48, Avg RSSI, -48.197029996055,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 42, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.179482188749,  RSSI, -47.5, Distance, 0.944060876285923
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 43, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1627978924546,  RSSI, -47.5, Distance, 0.944060876285923
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 44, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1469147844007,  RSSI, -47.5, Distance, 0.944060876285923
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 45, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1317764085617,  RSSI, -47.5, Distance, 0.944060876285923
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 46, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1485522395071,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 47, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1646901142657,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 48, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.180225849722,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 49, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1951926234382,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 50, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1912797684612,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 51, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1875207295698,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 52, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1839066104002,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 53, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1804291877685,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 54, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.177080849171,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 55, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.173854537121,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 56, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1793703182016,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 57, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1847025553614,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 58, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.189860263943,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 59, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1948518781386,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 60, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1996852970937,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 61, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2043679266885,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 62, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2089067174629,  RSSI, -48.5, Distance, 1.05925372517729
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 63, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2055640552421,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 64, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2023266975601,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 65, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1991897445811,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 66, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.1961485958639,  RSSI, -48, Distance, 1
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 67, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.2069538307895,  RSSI, -49, Distance, 1.12201845430196
EPC, 4865 6C6C 6F20 4920 616D 2041, Tag Count, 68, Max RSSI, -49, Min RSSI, -47.5, Avg RSSI, -48.21747165928,  RSSI, -49, Distance, 1.12201845430196
